person_id,era_from,era_to,                                               
973,-250,-196,
974,-250,-210,
975,-269,-210,
976,-230,-174,
977,-229,-170,
980,-250,-180,
981,-250,-210,
982,-225,-174,
983,-250,-150,
984,-250,-150,
985,-250,-100,
986,-235,-125,
987,-250,-199,
988,-250,-150,
989,-236,-218,
990,-250,-150,
991,-250,-150,
992,-235,-151,
993,-229,-174,
994,-250,-150,
995,-250,-150,
996,-238,-125,
997,-229,-177,
998,-250,-208,
999,-229,-125,
1000,-250,-150,
1001,-250,-150,
1002,-250,-150,
1003,-250,-150,
1004,-250,-208,
1006,-239,-174,
1007,-250,-125,
1008,-250,-150,
1009,-250,-150,
1010,-237,-150,
1011,-250,-150,
1013,-250,-150,
1014,-250,-150,
1015,-250,-150,
1016,-230,-125,
1017,-250,-150,
1018,-250,-150,
1019,-250,-150,
1020,-250,-150,
1021,-233,-150,
1022,-231,-150,
1023,-225,-173,
1024,-225,-172,
1025,-232,-150,
1026,-250,-150,
1027,-250,-205,
1028,-250,-150,
1029,-250,-205,
1031,-250,-204,
1032,-250,-100,
1033,-250,-150,
1034,-239,-125,
1035,-231,-125,
1036,-250,-125,
1037,-250,-150,
1038,-250,-150,
1039,-250,-150,
1041,-250,-169,
1042,-250,-150,
1043,-250,-150,
1045,-250,-203,
1046,-232,-203,
1047,-250,-203,
1049,-250,-150,
1050,-250,-150,
1051,-250,-150,
1052,-250,-189,
1053,-219,-196,
1054,-250,-150,
1055,-250,-150,
1056,-250,-150,
1057,-250,-125,
1058,-250,-150,
1060,-230,-199,
1062,-231,-125,
1063,-228,-175,
1064,-228,-187,
1065,-243,-125,
1067,-230,-152,
1069,-250,-201,
1070,-250,-150,
1071,-250,-125,
1072,-250,-125,
1073,-250,-125,
1074,-235,-125,
1075,-230,-125,
1076,-250,-150,
1077,-250,-100,
1079,-250,-150,
1080,-250,-150,
1081,-250,-100,
1082,-250,-150,
1084,-250,-164,
1085,-250,-125,
1086,-250,-175,
1088,-231,-190,
1090,-220,-176,
1091,-228,-125,
1092,-250,-196,
1093,-231,-125,
1094,-250,-125,
1095,-250,-175,
1096,-250,-125,
1097,-250,-196,
1099,-250,-125,
1100,-250,-125,
1101,-250,-125,
1102,-250,-125,
1103,-227,-125,
1104,-250,-125,
1105,-224,-125,
1106,-250,-197,
1107,-250,-197,
1109,-226,-125,
1110,-230,-125,
1111,-220,-100,
1113,-250,-125,
1114,-229,-125,
1115,-219,-125,
1116,-250,-125,
1117,-219,-100,
1118,-222,-100,
1119,-250,-196,
1123,-250,-196,
1124,-250,-196,
1125,-220,-167,
1127,-250,-125,
1128,-275,-180,
1129,-250,-125,
1130,-250,-125,
1131,-221,-100,
1132,-220,-125,
1133,-250,-125,
1134,-228,-160,
1135,-223,-100,
1137,-225,-175,
1138,-225,-100,
1139,-225,-100,
1140,-225,-100,
1141,-225,-125,
1143,-225,-194,
1145,-225,-194,
1146,-225,-194,
1147,-225,-125,
1148,-225,-100,
1149,-225,-125,
1151,-221,-125,
1152,-225,-125,
1154,-226,-125,
1157,-225,-174,
1158,-225,-125,
1160,-225,-193,
1161,-225,-193,
1162,-225,-193,
1163,-230,-125,
1164,-225,-125,
1165,-225,-125,
1166,-225,-125,
1167,-225,-125,
1168,-218,-125,
1169,-225,-125,
1170,-219,-180,
1171,-225,-125,
1172,-219,-100,
1173,-209,-100,
1174,-225,-125,
1175,-225,-175,
1176,-225,-125,
1177,-225,-175,
1178,-225,-125,
1179,-225,-125,
1180,-210,-125,
1181,-225,-125,
1182,-220,-100,
1183,-225,-100,
1184,-225,-125,
1185,-225,-190,
1186,-225,-125,
1187,-215,-100,
1188,-230,-167,
1190,-225,-125,
1191,-221,-125,
1192,-225,-125,
1193,-225,-100,
1194,-222,-125,
1195,-225,-125,
1196,-225,-125,
1197,-225,-125,
1198,-225,-125,
1200,-219,-100,
1201,-224,-100,
1204,-222,-125,
1205,-230,-100,
1206,-225,-125,
1207,-225,-125,
1208,-225,-125,
1209,-225,-125,
1212,-217,-100,
1213,-225,-125,
1214,-217,-100,
1215,-216,-125,
1216,-217,-125,
1217,-225,-125,
1218,-225,-125,
1219,-219,-176,
1220,-225,-186,
1221,-225,-125,
1222,-230,-180,
1223,-225,-125,
1224,-225,-125,
1225,-225,-125,
1226,-225,-125,
1227,-250,-125,
1228,-225,-125,
1229,-230,-169,
1231,-225,-125,
1232,-220,-100,
1233,-225,-100,
1234,-225,-100,
1235,-225,-125,
1236,-225,-125,
1237,-225,-125,
1238,-225,-125,
1239,-229,-184,
1240,-218,-125,
1241,-225,-183,
1242,-219,-172,
1243,-225,-125,
1244,-225,-125,
1245,-225,-125,
1246,-225,-125,
1247,-225,-100,
1248,-204,-75,
1249,-225,-125,
1250,-225,-125,
1251,-217,-100,
1253,-225,-100,
1254,-225,-125,
1255,-238,-125,
1256,-225,-125,
1257,-225,-125,
1258,-225,-125,
1259,-225,-100,
1260,-225,-125,
1262,-225,-125,
1263,-225,-100,
1264,-225,-125,
1265,-201,-75,
1266,-199,-100,
1267,-225,-125,
1268,-225,-125,
1269,-225,-100,
1270,-203,-100,
1271,-225,-100,
1272,-225,-100,
1273,-225,-150,
1274,-225,-125,
1275,-213,-100,
1276,-225,-125,
1277,-225,-180,
1278,-216,-100,
1279,-211,-100,
1281,-225,-125,
1282,-225,-125,
1283,-225,-100,
1284,-225,-125,
1285,-215,-150,
1286,-196,-75,
1287,-225,-125,
1288,-225,-100,
1289,-225,-100,
1290,-225,-100,
1291,-215,-100,
1292,-225,-125,
1295,-225,-100,
1296,-225,-100,
1297,-225,-125,
1298,-225,-125,
1300,-225,-125,
1301,-225,-125,
1302,-225,-125,
1303,-225,-125,
1304,-225,-100,
1305,-225,-178,
1306,-225,-125,
1308,-225,-100,
1309,-225,-125,
1310,-225,-125,
1311,-225,-125,
1312,-219,-100,
1314,-225,-125,
1315,-225,-125,
1318,-208,-148,
1319,-225,-125,
1320,-225,-150,
1321,-225,-100,
1322,-225,-125,
1323,-209,-170,
1324,-225,-100,
1325,-225,-100,
1326,-225,-100,
1327,-225,-100,
1328,-225,-100,
1329,-225,-100,
1330,-225,-100,
1331,-225,-100,
1332,-225,-150,
1333,-225,-100,
1334,-225,-100,
1335,-225,-100,
1336,-210,-100,
1337,-200,-100,
1338,-201,-100,
1340,-225,-100,
1341,-225,-173,
1342,-225,-100,
1343,-225,-100,
1344,-225,-100,
1345,-225,-100,
1346,-225,-100,
1347,-225,-100,
1348,-225,-100,
1350,-225,-100,
1352,-225,-100,
1353,-212,-100,
1354,-225,-100,
1355,-225,-100,
1356,-209,-162,
1357,-225,-100,
1358,-225,-100,
1359,-225,-100,
1360,-225,-100,
1362,-205,-121,
1363,-225,-100,
1364,-225,-100,
1365,-225,-100,
1366,-200,-125,
1367,-225,-100,
1369,-225,-100,
1370,-225,-100,
1372,-225,-100,
1373,-209,-100,
1374,-225,-100,
1375,-225,-100,
1376,-225,-100,
1377,-203,-100,
1378,-225,-100,
1379,-225,-100,
1380,-225,-100,
1382,-225,-100,
1383,-225,-100,
1384,-199,-75,
1385,-225,-100,
1386,-225,-100,
1387,-225,-163,
1388,-225,-100,
1389,-225,-100,
1390,-225,-75,
1391,-225,-100,
1392,-225,-150,
1393,-225,-100,
1394,-200,-100,
1395,-200,-100,
1396,-205,-141,
1397,-200,-100,
1398,-200,-100,
1399,-200,-100,
1400,-200,-100,
1403,-200,-100,
1404,-196,-125,
1405,-200,-100,
1406,-199,-154,
1407,-200,-100,
1408,-200,-100,
1409,-200,-100,
1410,-200,-100,
1411,-200,-100,
1412,-200,-100,
1413,-200,-100,
1414,-200,-100,
1415,-200,-161,
1416,-200,-100,
1417,-191,-130,
1418,-200,-100,
1420,-195,-75,
1421,-200,-100,
1422,-189,-130,
1423,-200,-100,
1424,-190,-115,
1425,-225,-100,
1426,-200,-100,
1427,-200,-100,
1428,-200,-100,
1429,-225,-100,
1430,-200,-100,
1431,-200,-100,
1433,-200,-152,
1434,-200,-100,
1435,-200,-100,
1436,-200,-100,
1437,-200,-100,
1438,-200,-100,
1439,-200,-164,
1440,-200,-100,
1441,-200,-100,
1442,-200,-100,
1443,-200,-100,
1444,-200,-100,
1445,-200,-100,
1446,-200,-100,
1447,-200,-100,
1448,-200,-100,
1449,-189,-100,
1450,-200,-100,
1451,-200,-100,
1452,-179,-130,
1453,-200,-100,
1454,-200,-100,
1455,-200,-100,
1456,-200,-100,
1457,-200,-100,
1460,-204,-100,
