Date,                  Page,       Note Ref,   Assertion Type,         Praenomen,      Nomen,                RE,                       Filiation,                       Cognomen,                        Patrician,    Certainty,    Consular Ancestor,      Certainty,   Calculated Father,           Suggested Father,                                                                       Certainty,      Calculated Grandfather,                 Suggested Grandfather,                                              Certainty,      Brother,                                                            Certainty,      More Remote,                                                        Certainty,      Novus,              Novus Certainty     
56,755,465,        Attested,              M,              Aemilius,141,                     (M.f. M.n.),                     Scarurus ,                      Patrician,    Certain,     Yes,                    Certain,     M. Aemilius,                M. Aemilius (140) Scaurus,                                                             Certain,        M. Aemilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
56,755,466,        Attested,              Q,              Ancharius,3,                       Q.f.,                             ,                              ,             ,            ,                       ,            ,                           Q. Ancharius (2),                                                                      Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
56,755,467,        Attested,              C,              Claudius,303,                     Ap.f. (Ap.n.),                   Pulcher,                        Patrician,    Certain,     Yes,                    Certain,     Ap. Claudius,               Ap. Claudius (296) Pulcher,                                                            Certain,        Ap. Claudius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
56,755,468,        Attested,              Cn,             Domitius,43,                      M.f. M.n.,                       Calvinus ,                      ,             ,            ,                       ,            M. Domitius,                ,                                                                                      ,               M. Domitius,                            ,                                                                  ,               ,                                                                   ,               Cn. Domitius (45) Maximus,                                         Certain,        ,
?before 55,749,333,        Inferred,              T,              Manilus,85,                      T.f.,                            Torquatus ,                     Patrician,    Certain,     ,                       ,            T. Manilus,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               T. Manlius (83) Torquatus,                                         Certain,        ,
?55,749,335,        Inferred,              P,              Plautius,23,                      (P.f.),                          Hypsaeus ,                      ,             ,            ,                       ,            P. Plautius,                ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 55,749,334,        Inferred,              ,               (Gutta?),             VII 2 col. 1952,         ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 55,755,469,        Attested,              P,              Attius,32,                      ,                                Varus ,                         ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 55,755,470,        Attested,              Q,              Caecilius,99,                      Q.f. Q.n.,                       Metellus Pius Scipio ,          ,             ,            Yes,                    Certain,     Q. Caecilius,               Q. Caecilius (98) Metellus Pius ,                                                      Certain,        Q. Caecilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
55,755,472,        Attested,              T,              Annius,67,                      (T.f.),                          Milo (Papianus) ,               ,             ,            ,                       ,            T. Annius,                  ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  755,471,        Attested,              P,              Vatinius,3,                       P.f.,                             ,                              ,             ,            ,                       ,            P. Vatinius,                ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain,
?54 ,755,479,        Attested,              C,              Cosconius,5,                       C.f.,                             ,                              ,             ,            ,                       ,            ,                           C. Cosconius (3),                                                                      Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 54,750,336,        Inferred,              M,              Claudius,229,                     M.f. M.n.,                       Marcellus,                      ,             ,            ,                       ,            M. Claudius,                ,                                                                                      ,               M. Claudius,                            ,                                                                  ,               ,                                                                   ,               M. Claudius (225) Marcellus,                                       Certain,        ,
by 54,755,473,        Attested,              C,              Considius,11,                      C.f.,                            Longus ,                        ,             ,            ,                       ,            C. Considius,               ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
54,755,474,        Attested,              ,               Fonteius,             absent,                  ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
54,755,475,        Attested,              M,              Porcius,16,                      (M.f. M.n.),                     Cato (Uticensis) ,              ,             ,            ,                       ,            M. Porcius,                 ,                                                                                      ,               M. Porcius,                             M. Porcius (15) Cato (Salonianus),                                 Certain,        ,                                                                   ,               M. Porcius (*10) Cato,                                             Certain,        ,
54,755,478,        Attested,              Ser,            Sulpicius,61,                      ,                                Galba ,                         Patrician,    Certain,     Yes,                    Certain,     ,                           Ser. Sulpicius (59) Galba,                                                             ,               ,                                       Ser. Sulpicius (59) Galba,                                         ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  755,475,        Attested,              C,              Alfius,7,                       ,                                Flavus ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,,
ERROR: Incorrect data  755,477,        Attested,              P,              Servilius,67,                      P.f. C.n.,                       (Vatia) Isauricus ,             ,             ,            Yes,                    Certain,     P. Servilius,               P. Servilius (93) Vatia Isauricus,                                                     Certain,        C. Servilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
53,755,480,        Attested,              L,              Aemilius,81,                      M.f. Q.n.,                       (Lepidus) Paullus ,             Patrician,    Certain,     Yes,                    Certain,     M. Aemilius,                M. Aemilius (72) Lepidus,                                                              Certain,        Q. Aemilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 52,750,337,        Inferred,              T,              Fadius,9,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain
by 52,750,336,        Inferred,              C,              Claudius,216,                     C.f. M.n.,                       Marcellus,                      ,             ,            ,                       ,            C. Claudius,                ,                                                                                      ,               M. Claudius,                            ,                                                                  ,               ,                                                                   ,               M. Claudius (225) Marcellus,                                       Certain,        ,
by 52,750,336,        Inferred,              C,              Claudius,217,                     M.f. M.n.,                       Marcellus,                      ,             ,            ,                       ,            M. Claudius,                ,                                                                                      ,               M. Claudius,                            ,                                                                  ,               ,                                                                   ,               M. Claudius (225) Marcellus,                                       Certain,        ,
before 51,755,481,        Attested,              Q,              Minucius,67,                      ,                                Thermus ,                       ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 51,755,482,        Attested,              M,              Nonius,52,                      ,                                (Sufenas?) ,                    ,             ,            ,                       ,            ,                           Sex. Nonius (53) Sufenas ,                                                             Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 51,755,483,        Attested,              Cn,             Tremelius,            see 5,                   ,                                Scrofa ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 51,755,484,        Attested,              P,              Silius,8,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
51,755,485,        Attested,              A,              Plautius (or Plotius) 8,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  755,486,        Attested,              M,              Iuventius,16,                      ,                                Laterensis ,                    ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               M. Iuventius (30) Thalna ,                                         Certain,        ,,
??before 50,750,338,        Inferred,              T,              Furfanus,1,                       ,                                Postumus ,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
?before 50,755,487,        Attested,              M,              Aurelius,109,                     ,                                Cotta ,                         ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
50,755,488,        Attested,              C,              Titius,37,                      L.f.,                            Rufus ,                         ,             ,            ,                       ,            L. Titius,                  ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
50,755,489,        Attested,              M,              Curtius,              23 = 8,                  ,                                Peducaenus ,                    ,             ,            ,                       ,            ,                           Sex. Peducaeus (5),                                                                    Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
50,755,490,        Attested,              M,              Livius,19,                      ,                                Drusus Claudianus ,             Patrician,    Certain,     Yes,                    Certain,     ,                           M. Livius Drusus (18),                                                                 Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               Claudii Pulchri,                                                   Certain,        ,
??before 49,750,341,        Inferred,              C,              Fannius,9,                       C.f.,                             ,                              ,             ,            ,                       ,            C. Fannius,                 C. Fannius (8),                                                                        Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 49,750,342,        Inferred,              Q,              Marcius,52,                      ,                                Crispus ,                       ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 49,750,343,        Inferred,              L,              Scribonius,34,                      L.f.,                            Libo ,                          ,             ,            ,                       ,            L. Scribonius,              ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 49,755,494,        Attested,              L,              Furius,55,                      L.f.,                            Crassipes ,                     Patrician,    Certain,     ,                       ,            L. Furius,                  ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,"               M. Furius (20, 56) Crassipes",                                      Certain,        ,
?by 49,756,495,        Attested,              M,              Favonius,1,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain
?by 49,756,496,        Attested,              L,              Aelius,150,                     ,                                Tubero ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 49,750,339,        Inferred,              L,              Postumius,"            15, cf. 26",              ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 49,750,340,        Inferred,              Q,              Fabius,108,                     Q.f. Q.n.,                       Maximus (?Sanga),               Patrician,    Certain,     ,                       ,            Q. Fabius,                  ,                                                                                      ,               Q. Fabius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 49,755,493,        Attested,              L,              Livineius,2,                       ,                                Regulus ,                       ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 49,755,491,        Attested,              P,              Sestius,6,                       L.f.,                             ,                              ,             ,            ,                       ,            L. Sestius,                 L. Sestius (1),                                                                        Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 49,755,492,        Attested,              M,              Considius,13,                      ,                                Nonianus ,                      ,             ,            ,                       ,            ,                           Sex. Nonius (53) Sufenas,                                                              ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?4/3c,756,497,        ,                      ,               Genucius,"             16, RE III 2 col. 2565",  ,                                Cipus ,                         ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?4/3c,756,498,        ,                      P,              Claudius,27,                      ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?3c,756,499,        ,                      ,               [ - ]ilius,           Aemilius 18,             ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?3c,756,499,        ,                      C,              An(n)ius,8,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??2/1c,756,513,        ,                      ,               [ - ]us,              ,                        ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??2c,756,502,        ,                      A,              Manilus,74,                      ,                                (Torquatus?) ,                  Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?3 or 2c,756,500,        ,                      ,               Domitius,40,                      ,                                Calvinus ,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2/1c,756,514,        ,                      C,              Aelius,149,                     ,                                Tubero ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2/1c,756,515,        ,                      ,               Calpurnius,           see 97,                  ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2/1c,757,516,        ,                      L,              Fufidius,3,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2c,756,503,        ,                      ,               Octavius,             7 = ?17,                 Cn.f.,                            ,                              ,             ,            ,                       ,            Cn. Octavius,               Cn. Octavius (17) ,                                                                    ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2c,756,504,        ,                      P,              Sextilius,            ,                        ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?2c,756,505,        ,                      C,              Rabirius,             see 6,                   C.f.,                             ,                              ,             ,            ,                       ,            C. Rabirius,                ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
3 or 2c,756,501,        ,                      L,              Furius,36,                      ,                                Bibaculus ,                     Patrician,    ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2/1c,757,517,        ,                      C,              Cluvius,2,                       L.f.,                             ,                              ,             ,            ,                       ,            L. Cluvius,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2/1c,757,518,        ,                      C,              Caninius,             Subp. 3.232f,            C.f.,                            (Rebilius) ,                    ,             ,            ,                       ,            C. Caninius,                ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  Certain,        ,
2/1c,757,519,        ,                      C,              Megabocchus,          XVI 1 col. 121,          ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
2c,756,506,        ,                      ,               Aelius,1,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,506,        ,                      ,               Fufius,1,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,507,        ,                      P,              Atilius,              ,                        ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,508,        ,                      M,              Marcius,              cf. 23,                  ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,509,        ,                      L,              Furius,               ,                        ,                                ,                               Patrician,    ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,510,        ,                      ,               (Cornelius),          ,                        ,                                Scipio ,                        Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
2c,756,511,        ,                      Cn,             Aufidius,             ,                        ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
